#{"t_start": 1696907060.4400942, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,5,131.491374
0.0,3,131.540277
1.0,17,131.786225
1.0,14,131.927795
0.0,5,132.005708
0.0,5,132.083066
2.0,21,132.318379
0.0,5,134.785035
0.0,5,134.87093
0.0,5,134.931469
1.0,16,135.112458
0.0,3,135.152189
0.0,5,135.213079
1.0,17,135.392316
0.0,5,135.44215
0.0,5,135.505148
0.0,5,135.557218
0.0,5,135.610219
2.0,21,135.886811
0.0,5,135.948711
0.0,5,136.003708
0.0,5,136.046782
2.0,28,138.779826
0.0,5,138.819894
2.0,23,139.069124
0.0,5,139.149598
0.0,5,139.209494
0.0,5,139.273185
0.0,5,139.335323
0.0,5,139.39655
0.0,5,139.488311
0.0,5,139.580794
0.0,5,139.645755
0.0,2,139.679122
1.0,14,139.925195
3.0,36,140.340425
0.0,5,140.411366
0.0,5,143.421206
0.0,5,143.481561
0.0,5,143.533007
1.0,16,143.771713
0.0,5,143.826739
0.0,5,143.889152
0.0,5,143.95378
2.0,29,144.290551
0.0,5,144.356552
2.0,24,144.564569
0.0,5,144.628034
0.0,5,144.684098
0.0,5,144.725165
1.0,17,148.060547
0.0,5,148.113166
0.0,5,148.166236
0.0,5,148.217807
0.0,5,148.284879
0.0,5,148.365921
0.0,5,148.415922
0.0,3,148.446923
0.0,5,148.504923
0.0,5,148.551924
0.0,5,148.613925
0.0,3,148.647925
1.0,12,148.816495
0.0,5,148.901421
0.0,5,148.96031
0.0,5,149.028002
3.0,34,149.411302
0.0,5,149.471303
1.0,17,152.368115
0.0,5,152.435066
0.0,5,152.493064
0.0,5,152.535064
0.0,5,152.575136
0.0,5,152.614136
0.0,5,152.662169
0.0,5,152.741451
0.0,5,152.808568
0.0,5,152.862065
0.0,5,152.929157
0.0,5,152.990232
0.0,5,153.058291
0.0,5,153.101732
0.0,5,153.153687
0.0,3,153.192461
0.0,5,153.242522
0.0,5,153.335539
0.0,5,153.395024
0.0,5,153.449024
0.0,5,153.5021
1.0,16,153.682112
0.0,5,156.441083
1.0,16,156.656236
0.0,5,156.719137
0.0,3,156.778322
0.0,5,156.836323
0.0,5,156.914266
0.0,5,156.982486
0.0,5,157.044848
0.0,5,157.123208
0.0,3,157.161689
1.0,16,157.356722
2.0,20,157.579048
0.0,5,157.630374
0.0,5,157.681797
1.0,12,157.794865
1.0,16,157.989916
0.0,3,160.712795
1.0,16,160.83333
0.0,3,160.887333
0.0,5,160.957399
0.0,5,161.037998
0.0,5,161.099936
0.0,5,161.163528
0.0,5,161.239599
1.0,16,161.420425
0.0,5,161.490287
0.0,5,161.559718
0.0,5,161.614336
1.0,10,161.756693
0.0,5,161.816725
1.0,16,162.019798
0.0,3,162.059933
0.0,3,162.091178
0.0,3,162.131289
0.0,3,162.172364
0.0,5,162.260929
0.0,3,162.334779
0.0,5,165.104254
0.0,3,165.134039
0.0,5,165.195007
0.0,5,165.268036
0.0,5,165.330733
0.0,3,165.377908
1.0,12,165.520994
0.0,5,165.591127
0.0,5,165.663223
2.0,23,165.855146
0.0,3,165.923297
0.0,5,165.976935
0.0,5,166.029884
0.0,5,166.088956
0.0,5,166.14026
0.0,5,166.227278
0.0,5,166.281067
0.0,5,166.33107
3.0,41,169.06462
0.0,3,169.104104
0.0,5,169.157385
0.0,5,169.210457
2.0,22,169.437678
0.0,5,169.530122
1.0,16,169.704128
0.0,5,169.756483
0.0,5,169.809484
1.0,12,169.906633
0.0,5,169.965261
0.0,3,170.005703
1.0,16,170.205174
0.0,3,170.253545
0.0,5,172.815312
1.0,16,173.005232
0.0,3,173.044878
0.0,3,173.103485
0.0,5,173.154438
0.0,5,173.214676
1.0,28,173.771534
1.0,17,173.885171
0.0,5,173.944101
0.0,5,173.983103
0.0,5,174.040172
0.0,5,174.080692
0.0,5,174.130331
0.0,5,174.180332
0.0,5,174.247028
